section,dataset,variable,source,original_field,unit,frequency,transformation,missing_value_treatment,economic_interpretation,important_limitations
raw,option_contracts.csv,metadata_resolution_method,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts.csv,series_code,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,secid,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,SECID,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,shortname,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,SHORTNAME,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,name,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,assetcode,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,ASSETCODE,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,option_type_original,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,option_type,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,OPTIONTYPE,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,strike,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,STRIKE,RUB per unit of underlying currency (normalized); raw field where named *_raw,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,first_trade_date,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,FRSTTRADE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,last_trade_date,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,LSTTRADE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,option_expiration_date,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,LSTDELDATE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,underlying_futures_secid,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,UNDERLYINGASSET,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,futures_expiration_date,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,underlying futures LSTDELDATE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,exercise_style,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,margin_style,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,settlement_type,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,delivery_type,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,quotation_unit,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,face_currency,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,series_name,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,source,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,source_url,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,exercise_style_original,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,margin_style_original,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,premium_style,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,metadata_resolution_method,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,option_contracts_resolved.csv,series_code,Moscow Exchange ISS exact security descriptions; series-code derivation where recorded,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,boardid,Moscow Exchange ISS options history,BOARDID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,tradedate,Moscow Exchange ISS options history,TRADEDATE,ISO date,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,secid,Moscow Exchange ISS options history,SECID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,open,Moscow Exchange ISS options history,OPEN,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,low,Moscow Exchange ISS options history,LOW,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,high,Moscow Exchange ISS options history,HIGH,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,close,Moscow Exchange ISS options history,CLOSE,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,openpositionvalue,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,value,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,volume,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,Trading flow or a transformation of trading flow.,Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,openposition,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,settleprice,Moscow Exchange ISS options history,"calculated, configured, or same-named source series",RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,waprice,Moscow Exchange ISS options history,WAPRICE,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,change,Moscow Exchange ISS options history,CHANGE,percent,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,qty,Moscow Exchange ISS options history,QTY,contracts,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,numtrades,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,theor_price,Moscow Exchange ISS options history,"calculated, configured, or same-named source series",RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,observation_frequency,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,options_daily.csv,source,Moscow Exchange ISS options history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,observation_date,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,series,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,rate_pct,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,policy_rates_daily.csv,rate_type,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,policy_rates_daily.csv,currency,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,tenor_days,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,source,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,policy_rates_daily.csv,source_url,Bank of Russia and People's Bank of China,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,rate_date,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,rate_pct,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,publication_date,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,transaction_volume_billion_rub,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,Trading flow or a transformation of trading flow.,Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,number_of_transactions,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,number_of_participants,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,minimum_rate_pct,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,rate_25th_percentile_pct,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,rate_75th_percentile_pct,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,maximum_rate_pct,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series",percent,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,series,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,rate_type,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,ruonia_daily.csv,currency,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,tenor_days,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,ruonia_daily.csv,source,Bank of Russia RUONIA statistics,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
